,specz_redshift
0,0.151580006
1,0.175970003
2,0.499570012
3,0.409929991
4,0.274360001
5,0.170739993
6,0.134849995
7,0.15478
8,0.0568000004
9,0.0835800022
10,0.0886500031
11,0.454129994
12,0.281150013
13,0.215000004
14,0.465849996
15,0.394439995
16,0.40575999
17,0.281670004
18,0.145060003
19,0.417089999
20,0.220320001
21,0.283270001
22,0.237709999
23,0.284420013
24,0.251540005
25,0.166010007
26,0.329959989
27,0.475569993
28,0.483280003
29,0.111309998
30,0.401780009
31,0.410140008
32,0.139310002
33,0.0553600006
34,0.433730006
35,0.114710003
36,0.11434
37,0.4815
38,0.493499994
39,0.136092305
40,0.0772100016
41,0.138319999
42,0.139310002
43,0.485549986
44,0.29428491
45,0.0272100009
46,0.479689986
47,0.157570004
48,0.490779996
49,0.260890007
50,0.208379999
51,0.299309999
52,0.477899998
53,0.264420003
54,0.421119988
55,0.0860700011
56,0.140670002
57,0.407849997
58,0.263830006
59,0.148179993
60,0.108180001
61,0.117839999
62,0.229310006
63,0.245829999
64,0.0227199998
65,0.19754
66,0.380140007
67,0.370119989
68,0.130219996
69,0.251450002
70,0.248490006
71,0.304969996
72,0.360760003
73,0.0813599974
74,0.128289998
75,0.270639986
76,0.189769998
77,0.445089996
78,0.356480002
79,0.433530003
80,0.391759992
81,0.155809999
82,0.0510299988
83,0.450410008
84,0.481669992
85,0.168970004
86,0.287019998
87,0.262219995
88,0.101410002
89,0.172900006
90,0.409280002
91,0.21119
92,0.452569991
93,0.19122
94,0.487830013
95,0.14429
96,0.207120001
97,0.406179994
98,0.12793
99,0.269580007
100,0.276059985
101,0.263689995
102,0.125909999
103,0.467519999
104,0.362650007
105,0.49849999
106,0.416339993
107,0.128839999
108,0.16392
109,0.171609998
110,0.428469986
111,0.126519993
112,0.298920006
113,0.248360604
114,0.107139997
115,0.48041001
116,0.0934000015
117,0.488770008
118,0.228520006
119,0.468095213
120,0.239309996
121,0.143329993
122,0.30024001
123,0.0725800022
124,0.0271300003
125,0.286190003
126,0.0854900032
127,0.233600006
128,0.262340009
129,0.244100004
130,0.45153001
131,0.375129998
132,0.0869899988
133,0.482980013
134,0.343470007
135,0.127059996
136,0.281650007
137,0.221489996
138,0.11575
139,0.259420007
140,0.338779986
141,0.343210012
142,0.254319996
143,0.189329997
144,0.0976300016
145,0.146160007
146,0.0772399977
147,0.328799993
148,0.105789997
149,0.0972800031
150,0.474489987
151,0.404900014
152,0.453429997
153,0.310490012
154,0.3134
155,0.203089997
156,0.134829998
157,0.107610002
158,0.128649995
159,0.182799995
160,0.208509997
161,0.209999993
162,0.233940005
163,0.321999997
164,0.230609998
165,0.480540007
166,0.194140002
167,0.268000007
168,0.141959995
169,0.321179986
170,0.108230002
171,0.267509997
172,0.308290005
173,0.462769985
174,0.12895
175,0.306769997
176,0.0307800006
177,0.111400001
178,0.424589992
179,0.0732299984
180,0.0768100023
181,0.204970002
182,0.18107
183,0.404300004
184,0.218170002
185,0.137500003
186,0.439469993
187,0.136010006
188,0.28847
189,0.199300006
190,0.475340009
191,0.205200002
192,0.129749998
193,0.47874999
194,0.0828799978
195,0.120719999
196,0.200760007
197,0.26030001
198,0.18818
199,0.475809991
200,0.36311999
201,0.291979998
202,0.323419988
203,0.441500008
204,0.0881500021
205,0.161650002
206,0.336450011
207,0.168200001
208,0.0376800001
209,0.468699992
210,0.471280009
211,0.138280004
212,0.158779994
213,0.102679998
214,0.0820700005
215,0.297539413
216,0.355150014
217,0.125560001
218,0.318399996
219,0.126310006
220,0.494560003
221,0.291850001
222,0.138459995
223,0.48842001
224,0.458499998
225,0.498679996
226,0.464780003
227,0.449499995
228,0.2755
229,0.136690006
230,0.327829987
231,0.332789987
232,0.479380012
233,0.451469988
234,0.353390008
235,0.10379
236,0.188150004
237,0.150920004
238,0.0697500035
239,0.27610001
240,0.265760005
241,0.345959991
242,0.287970006
243,0.109569997
244,0.162819996
245,0.154009998
246,0.192650005
247,0.0295599997
248,0.412200004
249,0.235919997
250,0.164340004
251,0.310779989
252,0.486000001
253,0.170019999
254,0.123570003
255,0.47931999
256,0.162809998
257,0.327899992
258,0.282499999
259,0.263379991
260,0.0931499973
261,0.494210005
262,0.140269995
263,0.405440003
264,0.464080006
265,0.148980007
266,0.146899998
267,0.0826200023
268,0.206400007
269,0.494740009
270,0.103550002
271,0.0460899994
272,0.194179997
273,0.140100002
274,0.196989998
275,0.250840008
276,0.0603800006
277,0.311670005
278,0.150319993
279,0.138820007
280,0.0879200026
281,0.0545700006
282,0.244499996
283,0.321700007
284,0.286799997
285,0.199670002
286,0.47420001
287,0.259090006
288,0.187069997
289,0.138019994
290,0.457610011
291,0.482450008
292,0.185409993
293,0.0979899988
294,0.250250012
295,0.419059992
296,0.0437199995
297,0.179309994
298,0.283450007
299,0.218630001
